Type	Size	Time
P	7528	126
P	5946	123
C	7792	639
C	5506	431
C	539	195
P	3440	752
P	8870	241
P	4495	141
C	8381	27410353
C	1943	796
C	3275	217
C	1694	578
P	8728	37508329
P	3614	27471349
C	5976	306
C	6533	143
C	8615	113
P	656	493
P	4714	202
P	3487	134
P	7364	94
P	2278	91
C	4066	337
C	8468	200
P	3977	959
P	566	137
P	6880	139
P	6664	27340417
C	7666	529
C	214	346
P	2420	337
P	951	204
P	5702	98
P	5578	110
C	4808	27135738
C	4126	341
C	5337	183
C	4955	127
C	2538	145
P	4738	292
P	3758	195
P	6329	159
C	9978	257
C	2280	129
C	1832	82
P	785	27435782
P	4898	53836
P	1342	329
P	1545	85
P	6520	69
P	691	31686691
C	9409	871
C	9316	133
C	406	57
P	5569	128
P	1020	77
P	4493	62
P	5638	73
C	7024	924
C	4393	103
C	5704	60
C	844	59
P	1631	35753113
P	8031	183
P	1972	75
C	9309	35918422
P	4163	271
P	6302	87
C	5255	216
C	2075	73
C	6724	52
C	4190	51
P	8043	35815573
P	858	158
P	4267	96
P	1548	169
P	1029	63
P	7369	66
C	6934	265
C	8967	108
P	5180	35679013
P	8579	171
P	3332	35642340
C	6860	248
P	5260	161
P	3118	86
P	854	48
P	4587	51
C	3759	1236
C	4793	101
C	2130	72
C	1606	58
C	9442	32603528
C	2695	1873
P	767	411
P	9489	85
P	8103	126
P	1055	40858266
C	8298	171
C	643	169
C	1413	63
C	345	74
P	7880	449
C	7667	40693588
P	7855	95
C	7123	288
P	9610	157
P	3248	198
C	4178	177
P	505	171
C	3450	185
C	506	264
C	5605	542
C	9130	40806079
P	5117	676
P	7227	183
P	2143	43036814
P	1447	185
P	3222	134
C	9842	43064993
C	251	287
C	710	74
C	6373	69
P	1417	194
P	4106	121
P	4997	43130828
P	1509	201
P	4219	93
C	2068	238
C	6039	132
C	611	68
P	588	681
P	4383	172
P	7452	74
P	2795	65
C	7937	43094229
C	3616	212
C	4467	47520772
C	525	77
C	2196	167
C	175	61
C	9464	74
C	3765	226
C	21	135
C	4719	69
P	7871	594
P	9345	127
P	4267	101
P	962	74
P	9005	47528755
P	5079	50802411
P	187	372
P	5401	123
P	8983	129
C	8223	1803
C	9998	65642380
P	6592	81
C	7715	252
C	2621	77
C	6744	85
P	5677	348
P	9802	104
C	4664	572
P	3176	501
P	2952	80
C	5371	234
C	9060	50483265
C	8899	488
C	2044	122
P	8109	52625042
P	1950	174
P	4508	84
P	260	64
C	4497	52520033
C	3337	192
P	8788	52456458
C	9688	52429337
C	7472	52480827
P	5758	52504341
P	3350	140
P	3803	83
P	2428	65
P	975	73
C	5382	51042813
C	6259	178
C	4632	51059101
P	7421	51052799
P	4252	230
C	264	51092986
C	8056	183
P	4238	51099093
C	2893	51124572
C	2533	131
P	7081	50778402
C	4491	50882150
P	3358	249
P	8463	138
P	984	97
P	292	116
P	2746	154
P	5429	152
C	8457	140
C	4756	191
C	8028	48939476
P	658	49117320
P	9111	49082051
P	3211	177
C	7461	49073735
C	4835	160
P	6842	49059130
P	131	164
P	7372	53
C	2872	48453599
C	2875	204
C	4333	123
P	2813	715
C	2465	221
P	2124	200
P	2449	153
P	923	63
P	4390	99
C	7170	127
P	6474	116
P	2373	77
P	3016	188
C	3372	215
C	5999	116
C	7231	92
P	7523	165
P	3871	134
P	5591	70
P	183	61
C	5646	218
C	3588	92
C	4351	81
C	5088	80
P	8802	808
P	4442	175
C	6934	48329471
C	2209	276
P	1926	53354427
C	2677	69
C	437	219
C	6745	263
C	8815	174
P	3261	137
P	3545	92
P	2206	87
P	9616	102
P	6022	71626121
C	1161	317
C	179	162
C	6078	70
C	3031	81
P	1692	168
P	9322	142
C	7670	181
P	6382	248
P	71	171
P	2509	70
P	6895	72
P	6715	115
C	8764	177
C	7042	145
C	4791	73
C	2037	59
P	1269	200
P	3505	129
P	2169	136
C	5164	231
C	9300	184
C	2010	80
P	5986	64
P	8205	123
C	6528	57207019
C	132	618
C	503	214
P	1944	530
P	5454	201
P	7629	58
P	534	59
C	1248	116
C	8083	81
P	9714	736
C	8831	418
C	7995	253
P	5073	198
P	4130	146
C	7945	58134496
C	1341	181
P	2962	197
C	1887	224
C	2421	157
P	7696	61273477
C	9963	145
P	4757	107
C	9525	185
C	1893	120
C	2232	78
P	9545	125
P	9523	139
C	5933	84
P	433	183
P	5156	129
P	3133	130
C	9247	263
C	7499	86
P	1619	642
P	1332	203
P	1374	58
P	2852	60
P	3357	56
C	4954	470
C	1379	62
C	2767	47
P	8466	338
P	6742	94
C	6463	207
C	9223	78
P	9458	4552
C	4567	298
C	4454	64
C	1855	60
P	9639	279
P	6189	77
C	4770	70056108
C	7415	534
P	3488	202
P	4124	93
P	8364	64
P	108	56
C	4982	206
C	4880	106
C	1301	80
C	2940	70068423
C	5166	70193291
P	3314	249
C	3087	258
C	1391	159
P	7068	209
P	2281	84
P	1587	69
P	6140	87
C	7790	70263833
C	1487	141
C	2012	47
C	7219	200
P	4822	173
P	2588	122
P	2725	66
P	4367	64
C	8930	141
C	2109	87
P	8992	166
P	4898	79
C	4252	121
C	3318	73
C	2239	68
C	6446	72
P	1686	70265665
P	3512	70583255
P	6285	70560919
P	6565	305
P	750	109
P	1106	70580643
P	4967	193
C	9510	163
C	7637	70521466
C	5300	70533448
P	8506	85154677
C	567	251
C	9150	66
C	948	49
C	2618	47
C	877	49
P	7984	85108667
P	9757	106
C	1688	217
C	1704	114
P	6850	85248665
P	8009	170
C	7490	143
C	2827	243
C	8204	85252093
C	588	84
C	2452	132
C	5179	135
P	6073	70622737
C	5078	316
C	3643	223
P	6550	245
P	4365	159
C	6707	192
P	5575	91
P	5149	63
C	3735	79
C	9484	52
C	4359	185
P	6337	70693399
P	9275	159
P	9174	58
C	6733	70705429
C	2932	91
C	9187	81
P	3869	121
P	8635	93
P	529	63
C	1819	141
C	4659	95
C	5110	85391107
C	587	168
C	8471	85
P	9329	70784850
P	9141	139
P	4862	70732681
P	3798	151
C	8335	217
C	1425	140
C	3234	57
P	3297	70751878
P	9988	350
P	402	553
P	5226	78
C	2846	246
C	6805	74
C	7579	71
P	9650	189
P	6199	81
C	9582	232
C	2242	81
C	7483	71712808
P	4335	68199307
P	6134	257
P	1255	160
P	7930	67
C	2542	832
C	1274	215
C	3579	65
C	2294	233
P	4219	167
P	2758	103
P	3580	84
C	1439	164
C	5626	89
C	5813	175
P	994	176
C	9395	86854316
P	3410	169
C	3894	243
C	1017	145
P	4982	70507418
P	5794	171
P	3575	237
P	2251	84
C	7581	184
C	5672	76
C	638	67
C	1588	58
P	2430	185
P	5136	123
P	8594	100
C	7647	69429491
C	5960	207
C	567	76
C	499	240
C	3664	135
P	2155	191
P	3617	152
P	2761	59
P	7132	61
P	3077	59
C	9159	278
C	1386	94
C	6830	103
P	7540	521
P	4245	124
C	8307	71037269
P	5245	70882110
P	4626	219
P	6008	96
C	1567	386
C	8304	138
C	2953	78
C	2874	82
P	9073	71416605
P	1559	260
C	4615	71046730
C	8868	93176497
P	3012	184
P	9522	112
P	1683	94
P	7580	138
C	3880	129
C	8967	135
C	838	74
C	8560	67978984
P	9580	72
C	7298	197
P	3079	155
P	9203	223
P	9793	139
P	3627	67941750
C	5410	135
C	7337	67854105
C	2069	192
P	6127	66154593
P	2920	84
C	9050	267
C	6931	167
P	7429	93449867
C	1323	181
C	1648	264
C	3239	181
C	7485	150
C	4845	187
C	4002	66101037
P	4665	66190821
P	5351	134
C	1269	134
P	7250	201
P	8019	239
C	2744	190
C	7496	161
P	260	181
C	6835	174
P	9259	174
C	3878	187
C	4301	158
C	5715	69
C	347	92
P	2439	118
P	1597	163
P	757	217
P	2681	76
P	7765	58
C	9460	252
C	4584	79
P	9269	130
C	3283	134
C	7079	62
P	7761	145
P	3143	78
P	1261	49
C	917	155
C	6986	74
C	3050	81
C	1388	60
P	6841	172
P	2245	63
C	6473	202
C	5097	89
C	920	69
P	7814	66214925
P	7519	241
P	2570	66771701
P	5968	200
P	4054	148
P	830	72
C	790	269
C	1881	259
C	158	73
C	4895	81
C	8970	69
C	2566	66697471
P	7786	200
P	8217	66682578
C	1610	167
C	4635	104
P	9540	173
C	2696	148
P	5510	172
P	6457	152
C	7571	159
P	1311	126
P	3475	143
C	6626	66706556
C	1934	143
C	9863	231
C	1805	173
P	2360	201
P	738	163
P	7559	76
P	7795	53
C	546	122
C	8698	193
P	3881	110
P	4526	66
C	4853	281
C	9685	457
C	9513	66833564
P	1296	282
P	1989	177
P	3725	66921487
P	2458	125
C	1620	126
C	251	84
P	8714	77
P	1345	256
P	780	64
C	9695	77
C	1883	133
C	7191	58
P	4175	177
P	4116	64
P	6461	57
C	5176	155
P	7040	132
P	3764	66
P	678	50
P	772	51
C	5278	66962997
C	4099	129
P	2325	81
P	8484	64
C	8722	156
C	3306	86
P	5558	112
P	7320	66
P	1235	49
C	2185	209
C	6722	54
P	1742	131
P	319	91
P	6551	65
P	1955	58
C	2112	227
C	6886	53
C	8624	51
C	206	47
P	7258	135
P	4579	91
C	9381	246
C	2986	64
C	9265	67022894
C	2045	144
C	498	48
P	5425	67343314
P	399	146
P	6242	118
C	8795	209
C	3660	74
C	3185	72
P	6416	141
P	8440	77
P	9609	67266909
C	881	77
C	9665	139
C	2262	187
P	9467	144
P	1451	467
C	4876	233
C	1150	143
C	5788	48
P	1672	125
P	4357	135
P	4225	53
C	3655	62743317
C	6395	179
C	8727	52
C	1133	285
P	2050	135
P	6438	63382962
P	7451	62567812
P	2743	142
P	2763	161
P	2607	63030767
C	302	777
C	4803	135
C	9013	62527372
C	494	143
P	7642	62454654
C	7444	160
P	1934	168
P	4899	67
P	350	58
P	2316	171
P	9464	50
C	4948	154
C	3771	198
C	3503	73
C	5446	67
C	1120	58
P	9066	143
P	125	76
P	497	51
P	716	53
P	3198	48
C	8495	123
C	5530	74
P	3962	77
P	1532	64
P	5801	59
P	5291	142
C	2628	196
C	1683	131
C	4926	54
C	439	75
P	48	59144195
C	6172	59388308
P	9700	59352315
P	914	129
P	2908	70
C	912	234
C	3945	79
P	5938	133
P	4597	117
C	5192	139
C	596	183
C	338	83
C	295	59317354
C	3610	114
C	9398	59516529
C	1751	173
C	1597	210
C	6172	156
P	7222	228
P	6371	174
C	1950	95396919
C	1537	157
C	6593	68
C	2539	115
P	9093	192
P	2053	59500553
P	3648	122
P	2674	277
C	8247	59523380
P	8056	148
C	5341	225
C	642	181
C	7815	49
P	6192	314
C	4242	49
P	1492	122
P	8745	146
P	5525	50
P	693	51
C	4044	404
C	1244	61
C	9817	48
P	6115	463
P	5769	70
P	2414	64838822
C	3044	210
C	9953	63
C	707	47
C	1863	50
C	111	64816887
P	6760	66435596
C	7753	238
P	9298	270
P	8584	102121948
C	2774	163
C	5496	169
P	8773	66432448
C	3537	95
C	6462	168
C	4043	74
C	5098	53
P	8088	136
P	607	60
P	5229	47
P	3692	47
C	3973	67710819
C	2886	396
C	9423	62661603
C	7393	169
P	6833	62618871
P	569	62615387
P	6801	260
P	2549	210
P	6794	103768043
P	2181	232
P	6045	66
P	688	59
C	2570	198
C	7314	180
C	1004	74
C	7245	67
C	7712	62610781
P	8001	107144101
P	9690	64156134
P	4714	402
P	2250	66
