Type	Size	Time
P	704	49320674
P	60	3019821
C	547	2929034
C	905	430
C	203	2909161
C	149	264
P	924	2910262
P	748	109
C	941	32208975
C	394	2882887
C	373	291
P	31	2872993
P	525	197
P	843	7722435
P	493	2886978
C	559	2859940
C	928	7591023
C	295	2807136
P	596	7318612
P	385	130
P	713	57
C	899	5401653
C	642	201
P	790	5337104
C	504	2740439
P	830	29531212
P	484	2711995
P	105	217
C	974	29349282
P	933	2798910
C	787	2736689
P	794	2836884
C	824	2863545
C	669	2863272
C	407	368
P	841	2826270
P	134	168
C	272	4947716
C	398	380
P	935	2944155
P	685	212
C	425	2948984
C	311	242
C	350	115
C	456	113
P	983	25433825
P	547	5016577
C	494	1622916
C	915	38984454
C	416	1595564
P	894	1526252
P	470	146
C	198	1490151
C	324	282
C	382	4545308
C	250	144
C	257	10940541
P	556	1415929
P	33	153
P	365	10702258
P	140	108
P	76	74
P	317	72
P	139	73
C	884	10388495
C	371	264
P	974	1351924
C	778	1342796
P	903	4006783
C	378	1221911
P	665	6402430
C	437	3949081
C	387	221
P	932	3904737
C	876	5909333
C	644	982196
P	890	2451195
C	1000	26220936
P	651	778524
C	150	258
P	778	5783721
P	155	191
P	211	2368940
C	295	670502
C	224	190
C	500	694767
P	740	667300
C	325	649505
C	267	648682
C	133	250
C	682	11602605
C	212	391
P	702	11348981
P	582	108
P	193	68
P	333	2072972
C	996	10460904
C	239	240
C	641	591805
P	888	602667
P	706	1972362
C	892	1929143
P	906	1880958
C	641	596932
P	930	4610726
C	506	654870
C	564	4529039
C	698	670879
P	681	624955
P	858	41288065
P	217	19909788
C	558	35582550
P	683	595055
P	911	5722670
C	657	5818967
C	207	568295
C	921	32201686
C	563	2765075
C	390	203
C	299	259
C	259	244
P	857	2226687
P	190	130
C	501	440
P	517	634689
C	882	254
P	166	1119100
P	651	2335194
P	367	476027
P	7	210
P	354	173
P	837	117
C	223	402839
C	584	4872744
P	373	152
P	524	362671
C	896	4858476
P	700	1053415
C	816	289
C	558	6905340
C	190	250
P	708	1095874
P	180	299
P	554	3411176
C	54	313228
C	804	2887492
C	988	1483869
P	88	302446
P	144	2499587
P	260	326559
P	768	192
C	978	373082
P	27	352701
P	432	5392698
P	975	363720
C	432	1424992
C	363	2043
P	824	3827648
C	146	235
C	785	616541
P	910	251929

